District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Gakenke,Irembo Services,Ministry of ICT,4534,50.4,2022,February
Rusizi,Land Registration Portal,Ministry of Health,3810,75.45,2022,March
Nyanza,Land Registration Portal,Immigration Department,2447,91.4,2022,August
Burera,Land Registration Portal,Immigration Department,2447,50.1,2023,August
Kayonza,Land Registration Portal,Immigration Department,2447,86.9,2024,June
Rulindo,Land Registration Portal,National Land Authority,2447,81.6,2023,July
Nyarugenge,Irembo Services,Ministry of Health,4438,75.45,2024,February
Kicukiro,Digital Health Records,Ministry of ICT,481,75.45,2022,September
Nyamagabe,Digital Health Records,Ministry of Health,2682,82.9,2021,June
Karongi,Irembo Services,National Land Authority,2447,94.2,2022,June
Rusizi,E-Visa Service,National Land Authority,2447,75.45,2024,April
Gasabo,Digital Health Records,Rwanda Revenue Authority,1878,75.45,2023,August
Nyarugenge,eTax Portal,Ministry of Health,4118,75.45,2022,May
Nyagatare,eTax Portal,Immigration Department,4855,84.4,2023,August
Gasabo,E-Visa Service,National Land Authority,1513,53.3,2023,May
Rusizi,Irembo Services,National Land Authority,3465,75.45,2023,Unknown
Kicukiro,eTax Portal,Rwanda Revenue Authority,2447,90.4,2022,February
Rwamagana,Irembo Services,Immigration Department,4917,84.9,2023,February
Kayonza,eTax Portal,National Land Authority,934,97.8,2023,March
Nyanza,Online Business Registration,Ministry of ICT,2447,75.45,2022,August
Rulindo,E-Visa Service,Immigration Department,3451,53.8,2023,November
Rusizi,E-Visa Service,Ministry of Health,4371,75.45,2022,May
Rwamagana,E-Visa Service,Rwanda Revenue Authority,2315,75.45,2024,Unknown
Nyamagabe,Irembo Services,Ministry of ICT,2447,75.45,2024,December
Kayonza,Land Registration Portal,Ministry of ICT,3895,70.1,2024,December
Nyarugenge,E-Visa Service,Ministry of Health,2447,75.45,2023,October
Kayonza,eTax Portal,Rwanda Revenue Authority,776,75.45,2021,January
Bugesera,Online Business Registration,National Land Authority,2447,75.45,2021,April
Nyamagabe,Irembo Services,Rwanda Revenue Authority,1963,70.3,2023,Unknown
Karongi,eTax Portal,National Land Authority,1646,51.1,2021,Unknown
Karongi,Land Registration Portal,Ministry of Health,2447,73.8,2022,June
Musanze,eTax Portal,Ministry of Health,2447,75.45,2021,March
Rwamagana,E-Visa Service,Ministry of ICT,2447,98.9,2023,February
Karongi,Online Business Registration,Ministry of ICT,4119,60.7,2023,December
Nyamagabe,E-Visa Service,Ministry of ICT,942,75.45,2022,April
Kayonza,Digital Health Records,Ministry of Health,3210,59.4,2024,June
Ngoma,E-Visa Service,National Land Authority,2447,75.45,2023,July
Gakenke,Digital Health Records,Ministry of Health,2447,75.45,2022,September
Burera,E-Visa Service,Ministry of Health,1340,75.45,2021,January
Kicukiro,Online Business Registration,Ministry of ICT,2447,75.45,2021,November
Rulindo,Online Business Registration,Rwanda Revenue Authority,1268,75.45,2022,May
Nyarugenge,Irembo Services,Ministry of ICT,2447,61.7,2022,May
Karongi,E-Visa Service,Rwanda Revenue Authority,4666,75.45,2023,Unknown
Rusizi,Digital Health Records,National Land Authority,4185,75.45,2021,March
Karongi,Irembo Services,National Land Authority,1468,57.1,2022,January
Musanze,eTax Portal,Immigration Department,2447,75.45,2021,July
Gakenke,Online Business Registration,Immigration Department,2447,75.45,2022,Unknown
Nyanza,Irembo Services,Immigration Department,2447,75.45,2021,August
Gasabo,Online Business Registration,National Land Authority,2447,81.5,2024,September
Burera,Irembo Services,Ministry of ICT,2447,63.6,2023,December
Rulindo,eTax Portal,Ministry of ICT,1761,65.9,2021,September
Nyamagabe,eTax Portal,Ministry of ICT,845,59.5,2024,April
Kicukiro,Land Registration Portal,Ministry of Health,2447,75.45,2021,February
Huye,Digital Health Records,Immigration Department,3161,79.7,2021,August
Nyanza,Land Registration Portal,Ministry of ICT,367,75.45,2024,February
Bugesera,Digital Health Records,Immigration Department,2447,75.45,2021,January
Kayonza,eTax Portal,Immigration Department,2447,62.3,2021,June
Rulindo,Irembo Services,Ministry of Health,3980,75.45,2023,March
Kicukiro,E-Visa Service,National Land Authority,2447,55.1,2024,February
Huye,Online Business Registration,Ministry of ICT,4361,56.5,2024,January
Rusizi,eTax Portal,Ministry of Health,2447,75.45,2022,January
Burera,eTax Portal,National Land Authority,2189,75.45,2021,Unknown
Rubavu,Irembo Services,National Land Authority,1754,94.6,2023,February
Ngoma,E-Visa Service,Ministry of ICT,412,75.45,2021,April
Rulindo,eTax Portal,Immigration Department,2447,75.45,2021,March
Kayonza,eTax Portal,Rwanda Revenue Authority,4501,83.8,2022,April
Musanze,Irembo Services,Immigration Department,2447,75.45,2021,Unknown
Gasabo,eTax Portal,Immigration Department,4845,75.45,2023,July
Nyagatare,Digital Health Records,Rwanda Revenue Authority,2447,75.45,2023,June
Rwamagana,Digital Health Records,National Land Authority,2858,83.8,2022,November
Ngoma,E-Visa Service,Rwanda Revenue Authority,2447,58.3,2021,November
Burera,Digital Health Records,Rwanda Revenue Authority,2769,93.8,2023,November
Gasabo,Digital Health Records,Ministry of Health,2447,75.45,2021,February
Burera,eTax Portal,Ministry of Health,1624,75.45,2021,October
Nyamagabe,Online Business Registration,Ministry of Health,2447,75.45,2021,October
Nyarugenge,Digital Health Records,National Land Authority,2447,75.45,2022,May
Nyagatare,E-Visa Service,Rwanda Revenue Authority,638,75.45,2021,Unknown
Musanze,Digital Health Records,Ministry of ICT,1597,100,2023,February
Rulindo,eTax Portal,Rwanda Revenue Authority,2447,75.45,2021,January
Musanze,Land Registration Portal,National Land Authority,3167,75.45,2023,February
Rubavu,eTax Portal,Ministry of Health,1186,71.6,2021,April
Kayonza,Irembo Services,National Land Authority,2447,75.45,2023,November
Ngoma,E-Visa Service,Ministry of Health,2447,75.45,2023,August
Nyanza,Digital Health Records,National Land Authority,2447,50.1,2021,August
Rusizi,Irembo Services,Ministry of ICT,2447,75.45,2021,March
Nyamagabe,Digital Health Records,Ministry of Health,2447,75.45,2023,February
Kayonza,Land Registration Portal,Ministry of Health,2447,75.45,2024,Unknown
Kayonza,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2022,Unknown
Nyagatare,Land Registration Portal,National Land Authority,621,75.45,2024,June
Rulindo,eTax Portal,Immigration Department,1295,75.45,2024,June
Burera,eTax Portal,Immigration Department,2447,83.9,2021,February
Rubavu,Irembo Services,Rwanda Revenue Authority,2447,51.8,2022,January
Gakenke,Irembo Services,National Land Authority,2447,56.8,2024,August
Huye,eTax Portal,Ministry of ICT,2447,56.3,2021,January
Nyanza,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2024,March
Rubavu,eTax Portal,Ministry of Health,967,75.45,2024,October
Nyarugenge,eTax Portal,Ministry of ICT,935,75.45,2021,July
Rusizi,Digital Health Records,National Land Authority,2447,79,2021,Unknown
Nyamagabe,Land Registration Portal,Ministry of Health,3241,64.4,2021,December
Karongi,E-Visa Service,Immigration Department,2447,83.3,2022,July
Nyanza,Digital Health Records,National Land Authority,4849,75.45,2024,August
Rusizi,Online Business Registration,Ministry of Health,2447,77.2,2021,January
Gasabo,E-Visa Service,National Land Authority,3797,75.45,2023,July
Ngoma,Digital Health Records,Ministry of Health,2447,75.45,2024,November
Ngoma,eTax Portal,National Land Authority,78,75.45,2023,July
Kayonza,Digital Health Records,Immigration Department,2447,75.45,2022,March
Rubavu,Irembo Services,Rwanda Revenue Authority,4049,70.7,2021,June
Rulindo,E-Visa Service,Ministry of Health,2447,75.45,2023,April
Burera,eTax Portal,Ministry of Health,2447,75.45,2022,March
Kayonza,Land Registration Portal,Immigration Department,2447,63.3,2021,May
Bugesera,Digital Health Records,Rwanda Revenue Authority,2447,75.45,2023,May
Karongi,eTax Portal,National Land Authority,88,75.45,2023,August
Burera,E-Visa Service,Ministry of Health,936,75.45,2022,March
Burera,Irembo Services,Rwanda Revenue Authority,2254,75.45,2021,January
Gakenke,Irembo Services,National Land Authority,2447,75.45,2021,October
Rulindo,E-Visa Service,Ministry of Health,2447,75.45,2023,October
Karongi,E-Visa Service,Ministry of Health,3580,56.3,2023,October
Huye,Digital Health Records,National Land Authority,3828,53.8,2023,April
Nyagatare,eTax Portal,Immigration Department,2447,75.45,2021,November
Gakenke,Land Registration Portal,Rwanda Revenue Authority,2447,59.1,2022,May
Nyagatare,E-Visa Service,Ministry of Health,1038,50.9,2022,August
Nyamagabe,E-Visa Service,National Land Authority,2447,67.1,2021,July
Kicukiro,Online Business Registration,Ministry of Health,1732,75.45,2024,September
Karongi,Irembo Services,National Land Authority,2447,75.45,2022,August
Kayonza,Online Business Registration,Ministry of Health,983,50.1,2023,January
Gakenke,Land Registration Portal,Ministry of ICT,3283,83.2,2024,February
Gakenke,E-Visa Service,Immigration Department,1905,98.7,2024,May
Rubavu,Digital Health Records,Rwanda Revenue Authority,2447,75.45,2022,July
Kayonza,Irembo Services,Immigration Department,1859,94.9,2024,March
Kicukiro,Online Business Registration,Immigration Department,2305,75.45,2024,July
Rubavu,Irembo Services,Rwanda Revenue Authority,2447,75.45,2022,April
Nyanza,Online Business Registration,Immigration Department,1034,75.45,2022,November
Karongi,E-Visa Service,Ministry of ICT,3726,53.3,2024,June
Musanze,eTax Portal,National Land Authority,569,75.45,2023,September
Rulindo,eTax Portal,Rwanda Revenue Authority,2447,74.2,2021,April
Musanze,Digital Health Records,National Land Authority,2447,75.45,2024,November
Nyanza,Land Registration Portal,Ministry of Health,2447,75.45,2024,August
Rulindo,Irembo Services,Ministry of ICT,2447,99.5,2023,September
Gasabo,Land Registration Portal,National Land Authority,2447,75.45,2024,March
Rubavu,Online Business Registration,National Land Authority,2447,82.5,2024,January
Nyamagabe,E-Visa Service,Rwanda Revenue Authority,576,75.45,2021,July
Rubavu,Digital Health Records,Ministry of Health,2303,88.8,2021,February
Nyarugenge,eTax Portal,Rwanda Revenue Authority,2447,75.45,2021,December
Kayonza,eTax Portal,Ministry of Health,2447,81,2022,June
Rusizi,Digital Health Records,Rwanda Revenue Authority,2447,75.45,2022,August
Karongi,Irembo Services,National Land Authority,2447,65.8,2021,September
Gakenke,Land Registration Portal,National Land Authority,2447,57.3,2021,Unknown
Nyarugenge,Online Business Registration,Ministry of ICT,633,75.45,2022,August
Karongi,Land Registration Portal,National Land Authority,3838,75.45,2023,June
Burera,eTax Portal,Immigration Department,4217,82.1,2024,October
Gakenke,Digital Health Records,National Land Authority,2447,75.45,2024,September
Karongi,eTax Portal,Immigration Department,2447,75.45,2021,June
Kayonza,E-Visa Service,National Land Authority,3616,73.5,2023,July
Burera,eTax Portal,Immigration Department,2447,75.45,2022,May
Kicukiro,Online Business Registration,Immigration Department,778,53.1,2021,March
Nyarugenge,Irembo Services,National Land Authority,2447,75.45,2023,January
Nyagatare,Irembo Services,Immigration Department,2447,81.5,2023,June
Ngoma,E-Visa Service,Ministry of ICT,2447,52.2,2023,October
Nyagatare,Online Business Registration,Ministry of Health,2447,97.9,2022,April
Nyarugenge,Digital Health Records,Immigration Department,1626,75.45,2022,January
Nyamagabe,Land Registration Portal,Immigration Department,2447,75,2024,April
Musanze,Digital Health Records,Ministry of ICT,2447,75.45,2024,August
Musanze,Land Registration Portal,Ministry of ICT,2447,75.45,2023,May
Rulindo,Irembo Services,Rwanda Revenue Authority,2447,75.45,2023,January
Rwamagana,eTax Portal,Ministry of Health,2447,77.3,2022,February
Ngoma,eTax Portal,Rwanda Revenue Authority,51,72.9,2024,August
Gasabo,E-Visa Service,Immigration Department,2898,58.3,2023,September
Kicukiro,Digital Health Records,Ministry of ICT,2447,74.1,2024,June
Karongi,Online Business Registration,Immigration Department,967,52.5,2024,June
Kicukiro,Land Registration Portal,National Land Authority,2447,56.8,2023,October
Ngoma,eTax Portal,Ministry of Health,2447,89.7,2022,April
Bugesera,E-Visa Service,National Land Authority,2447,75.45,2023,March
Bugesera,Digital Health Records,Ministry of ICT,2447,75.45,2023,February
Nyamagabe,Online Business Registration,Ministry of ICT,155,75.45,2024,April
Rubavu,Irembo Services,Ministry of ICT,477,75.45,2023,November
Nyagatare,Online Business Registration,Ministry of Health,1945,75.45,2022,April
Nyanza,Irembo Services,Rwanda Revenue Authority,366,78.5,2023,May
Nyamagabe,Digital Health Records,Immigration Department,2447,75.45,2022,September
Rwamagana,Online Business Registration,Immigration Department,2447,79.7,2022,Unknown
Rwamagana,E-Visa Service,Immigration Department,3194,75.45,2024,February
Rwamagana,Digital Health Records,Immigration Department,2447,75.45,2021,December
Nyarugenge,Irembo Services,Immigration Department,2447,91.5,2021,January
Gakenke,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2024,Unknown
Nyagatare,eTax Portal,National Land Authority,2447,84.9,2023,April
Kayonza,E-Visa Service,Ministry of Health,2447,75.45,2024,October
Rubavu,eTax Portal,National Land Authority,4256,75.45,2022,Unknown
Nyagatare,E-Visa Service,National Land Authority,2480,75.45,2021,June
Rulindo,Irembo Services,Immigration Department,2447,75.45,2024,July
Rusizi,Land Registration Portal,Immigration Department,2447,62.4,2023,June
Rulindo,Land Registration Portal,Rwanda Revenue Authority,2447,72.9,2024,Unknown
Rusizi,eTax Portal,Ministry of Health,2447,75.45,2021,Unknown
Gasabo,eTax Portal,Ministry of ICT,944,88.2,2024,March
Rulindo,Online Business Registration,National Land Authority,2447,74.9,2024,March
Ngoma,E-Visa Service,Ministry of ICT,4159,75.45,2021,April
Burera,E-Visa Service,Ministry of Health,2447,75.45,2022,October
Rwamagana,E-Visa Service,National Land Authority,3006,77.6,2022,June
Nyarugenge,E-Visa Service,Ministry of ICT,2447,75.45,2021,July
Rulindo,Online Business Registration,Ministry of ICT,2447,75.45,2024,December
